label_grouping,united_states_estimate,united_states_margin_of_error,united_states_percent,united_states_percent_margin_of_error
Civilian noninstitutionalized population under 19 years,"77,057,243","±47,510","77,057,243",(X)
No health insurance coverage,"4,155,019","±58,822",5.4%,±0.1
Civilian noninstitutionalized population 19 to 64 years,"195,039,313","±52,002","195,039,313",(X)
In labor force:,"155,716,250","±126,000","155,716,250",(X)
Employed:,"149,287,865","±131,531","149,287,865",(X)
With health insurance coverage,"134,676,286","±191,060",90.2%,±0.1
With private health insurance,"120,782,766","±236,592",80.9%,±0.1
With public coverage,"18,773,694","±100,691",12.6%,±0.1
No health insurance coverage,"14,611,579","±113,718",9.8%,±0.1
Unemployed:,"6,428,385","±57,896","6,428,385",(X)
With health insurance coverage,"4,921,140","±46,912",76.6%,±0.4
With private health insurance,"2,675,155","±29,811",41.6%,±0.4
With public coverage,"2,456,007","±33,423",38.2%,±0.4
No health insurance coverage,"1,507,245","±28,992",23.4%,±0.4
Not in labor force:,"39,323,063","±114,318","39,323,063",(X)
With health insurance coverage,"33,906,425","±101,454",86.2%,±0.1
With private health insurance,"19,903,073","±79,916",50.6%,±0.2
With public coverage,"16,773,554","±82,140",42.7%,±0.1
No health insurance coverage,"5,416,638","±55,157",13.8%,±0.1
All families,(X),(X),8.8%,±0.1
With related children of the householder under 18 years,(X),(X),13.3%,±0.1
With related children of the householder under 5 years only,(X),(X),11.9%,±0.3
Married couple families,(X),(X),4.7%,±0.1
With related children of the householder under 18 years,(X),(X),5.7%,±0.1
With related children of the householder under 5 years only,(X),(X),4.0%,±0.2
"Families with female householder, no spouse present",(X),(X),23.2%,±0.2
With related children of the householder under 18 years,(X),(X),32.2%,±0.3
With related children of the householder under 5 years only,(X),(X),36.2%,±0.9
All people,(X),(X),12.5%,±0.1
Under 18 years,(X),(X),16.0%,±0.2
Related children of the householder under 18 years,(X),(X),15.7%,±0.2
Related children of the householder under 5 years,(X),(X),16.8%,±0.3
Related children of the householder 5 to 17 years,(X),(X),15.3%,±0.2
18 years and over,(X),(X),11.5%,±0.1
18 to 64 years,(X),(X),11.5%,±0.1
65 years and over,(X),(X),11.3%,±0.1
People in families,(X),(X),9.5%,±0.1
Unrelated individuals 15 years and over,(X),(X),24.1%,±0.1
